        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2025-02-04 19:14:16 ,         300.0   ,            101.3   ,               37.3   ,        46.9   ,            760   ,          8   ,                        6   ,                   0   ,                    0   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               39.0   ,                  7149   ,
2025-02-04 19:14:17 ,         300.0   ,            101.3   ,               37.3   ,        47.0   ,            760   ,         16   ,                        7   ,                   0   ,                    2   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               49.0   ,                  7216   ,
2025-02-04 19:14:18 ,         300.0   ,            101.3   ,               37.2   ,        46.7   ,            760   ,          6   ,                        6   ,                   0   ,                    0   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               39.0   ,                  7208   ,
2025-02-04 19:14:19 ,         300.0   ,            101.3   ,               37.3   ,        47.1   ,            760   ,          4   ,                        6   ,                   0   ,                    0   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               47.0   ,                  7228   ,
2025-02-04 19:14:20 ,         300.0   ,            101.3   ,               37.4   ,        47.2   ,            760   ,         15   ,                        6   ,                   0   ,                    0   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               53.0   ,                  7213   ,
2025-02-04 19:14:22 ,         300.0   ,            101.3   ,               37.5   ,        47.5   ,            770   ,         19   ,                        7   ,                   0   ,                    0   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               59.0   ,                  7255   ,
2025-02-04 19:14:22 ,         375.0   ,            101.3   ,               37.6   ,        47.4   ,            775   ,         37   ,                       10   ,                   0   ,                    1   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               54.0   ,                  7239   ,
2025-02-04 19:14:23 ,         375.0   ,            101.3   ,               37.5   ,        47.1   ,            775   ,         34   ,                       12   ,                   0   ,                    1   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               40.0   ,                  7228   ,
2025-02-04 19:14:25 ,         375.0   ,            101.3   ,               37.5   ,        47.3   ,            666   ,          8   ,                        6   ,                   0   ,                    0   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               40.0   ,                  7251   ,
2025-02-04 19:14:25 ,         300.0   ,            101.3   ,               37.5   ,        47.3   ,            664   ,         12   ,                        7   ,                   0   ,                    1   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               51.0   ,                  7256   ,
2025-02-04 19:14:27 ,         300.0   ,            101.3   ,               37.7   ,        47.2   ,            669   ,         12   ,                        7   ,                   0   ,                    0   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               40.0   ,                  7271   ,
2025-02-04 19:14:28 ,         300.0   ,            101.3   ,               37.6   ,        47.1   ,            670   ,         14   ,                        7   ,                   0   ,                    0   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               39.0   ,                  7253   ,
2025-02-04 19:14:29 ,         300.0   ,            101.3   ,               37.5   ,        47.2   ,            670   ,          2   ,                        6   ,                   0   ,                    0   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               53.0   ,                  7265   ,
2025-02-04 19:14:30 ,         960.0   ,           1375.2   ,               38.5   ,        49.7   ,            673   ,          2   ,                        6   ,                   0   ,                    0   ,                3.9   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               65.0   ,                  7418   ,
2025-02-04 19:14:31 ,         960.0   ,           1375.2   ,               39.1   ,        50.4   ,            698   ,          5   ,                        1   ,                   0   ,                    0   ,                3.9   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               57.0   ,                  7381   ,
2025-02-04 19:14:31 ,         960.0   ,           1375.2   ,               39.2   ,        50.6   ,            721   ,          3   ,                        0   ,                   0   ,                    0   ,                3.9   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               69.0   ,                  7651   ,
2025-02-04 19:14:33 ,         375.0   ,            101.3   ,               38.6   ,        48.8   ,            729   ,          3   ,                        1   ,                   0   ,                    1   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               72.0   ,                  7735   ,
2025-02-04 19:14:34 ,         375.0   ,            101.3   ,               38.4   ,        48.1   ,            729   ,          3   ,                        3   ,                   0   ,                    0   ,                1.0   ,                   0.0   ,                  0.0   ,               0.0   ,              16   ,        0.6180   ,               72.0   ,                  7733   ,
