        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , GPU Chip Power Draw [W] , CPU Temperature [°C] ,
2025-02-05 03:58:10 ,         300.0   ,            101.3   ,               36.1   ,        45.7   ,                   0.0   ,               36.0   ,
2025-02-05 03:58:11 ,         300.0   ,            101.3   ,               36.0   ,        45.7   ,                   0.0   ,               47.0   ,
2025-02-05 03:58:12 ,         300.0   ,            101.3   ,               36.0   ,        45.6   ,                   0.0   ,               36.0   ,
2025-02-05 03:58:13 ,         300.0   ,            101.3   ,               36.2   ,        45.7   ,                   0.0   ,               35.0   ,
2025-02-05 03:58:14 ,         300.0   ,            101.3   ,               36.1   ,        45.8   ,                   0.0   ,               44.0   ,
2025-02-05 03:58:15 ,         300.0   ,            101.3   ,               36.1   ,        45.7   ,                   0.0   ,               51.0   ,
2025-02-05 03:58:16 ,         300.0   ,            101.3   ,               36.1   ,        45.7   ,                   0.0   ,               36.0   ,
2025-02-05 03:58:17 ,         300.0   ,            101.3   ,               36.1   ,        45.6   ,                   0.0   ,               45.0   ,
2025-02-05 03:58:18 ,         300.0   ,            101.3   ,               36.1   ,        45.6   ,                   0.0   ,               37.0   ,
2025-02-05 03:58:19 ,         300.0   ,            101.3   ,               36.3   ,        45.8   ,                   0.0   ,               36.0   ,
2025-02-05 03:58:20 ,         300.0   ,            101.3   ,               36.2   ,        45.7   ,                   0.0   ,               36.0   ,
2025-02-05 03:58:21 ,         300.0   ,            101.3   ,               36.2   ,        45.8   ,                   0.0   ,               36.0   ,
2025-02-05 03:58:22 ,         300.0   ,            101.3   ,               36.3   ,        46.0   ,                   0.0   ,               45.0   ,
2025-02-05 03:58:23 ,         960.0   ,           1375.2   ,               37.4   ,        48.5   ,                   0.0   ,               37.0   ,
2025-02-05 03:58:24 ,         960.0   ,           1375.2   ,               37.8   ,        49.1   ,                   0.0   ,               48.0   ,
2025-02-05 03:58:25 ,         960.0   ,           1375.2   ,               38.0   ,        49.3   ,                   0.0   ,               52.0   ,
2025-02-05 03:58:26 ,         960.0   ,           1375.2   ,               37.7   ,        48.6   ,                   0.0   ,               57.0   ,
2025-02-05 03:58:27 ,         960.0   ,           1375.2   ,               38.1   ,        49.4   ,                   0.0   ,               71.0   ,
2025-02-05 03:58:28 ,         960.0   ,           1375.2   ,               38.4   ,        49.7   ,                   0.0   ,               65.0   ,
2025-02-05 03:58:29 ,         960.0   ,           1375.2   ,               38.6   ,        49.9   ,                   0.0   ,               70.0   ,
2025-02-05 03:58:30 ,         375.0   ,            101.3   ,               38.8   ,        50.1   ,                   0.0   ,               58.0   ,
2025-02-05 03:58:31 ,         375.0   ,            101.3   ,               38.0   ,        48.1   ,                   0.0   ,               61.0   ,
2025-02-05 03:58:32 ,         375.0   ,            101.3   ,               38.1   ,        47.8   ,                   0.0   ,               61.0   ,
2025-02-05 03:58:33 ,         375.0   ,            101.3   ,               38.2   ,        47.9   ,                   0.0   ,               62.0   ,
2025-02-05 03:58:34 ,         375.0   ,            101.3   ,               38.2   ,        47.9   ,                   0.0   ,               63.0   ,
2025-02-05 03:58:35 ,         375.0   ,            101.3   ,               38.3   ,        47.9   ,                   0.0   ,               64.0   ,
2025-02-05 03:58:37 ,         375.0   ,            101.3   ,               38.4   ,        48.2   ,                   0.0   ,               70.0   ,
2025-02-05 03:58:38 ,         375.0   ,            101.3   ,               38.5   ,        48.2   ,                   0.0   ,               64.0   ,
2025-02-05 03:58:38 ,         375.0   ,            101.3   ,               38.5   ,        48.3   ,                   0.0   ,               59.0   ,
2025-02-05 03:58:39 ,         375.0   ,            101.3   ,               38.7   ,        48.5   ,                   0.0   ,               61.0   ,
2025-02-05 03:58:40 ,         375.0   ,            101.3   ,               38.8   ,        48.6   ,                   0.0   ,               64.0   ,
2025-02-05 03:58:41 ,         375.0   ,            101.3   ,               38.9   ,        48.7   ,                   0.0   ,               69.0   ,
2025-02-05 03:58:42 ,         375.0   ,            101.3   ,               38.9   ,        48.8   ,                   0.0   ,               67.0   ,
2025-02-05 03:58:43 ,         375.0   ,            101.3   ,               38.9   ,        48.7   ,                   0.0   ,               72.0   ,
2025-02-05 03:58:44 ,         300.0   ,            101.3   ,               38.9   ,        48.8   ,                   0.0   ,               63.0   ,
2025-02-05 03:58:45 ,         300.0   ,            101.3   ,               39.0   ,        48.7   ,                   0.0   ,               60.0   ,
2025-02-05 03:58:46 ,         300.0   ,            101.3   ,               39.1   ,        48.8   ,                   0.0   ,               67.0   ,
2025-02-05 03:58:47 ,         960.0   ,           1375.2   ,               40.4   ,        51.5   ,                   0.0   ,               74.0   ,
2025-02-05 03:58:48 ,         960.0   ,           1375.2   ,               41.0   ,        52.1   ,                   0.0   ,               70.0   ,
2025-02-05 03:58:50 ,         375.0   ,            101.3   ,               40.5   ,        50.9   ,                   0.0   ,               75.0   ,
2025-02-05 03:58:50 ,         300.0   ,            101.3   ,               40.0   ,        49.8   ,                   0.0   ,               73.0   ,
2025-02-05 03:58:51 ,         300.0   ,            101.3   ,               40.1   ,        50.1   ,                   0.0   ,               74.0   ,
2025-02-05 03:58:52 ,         300.0   ,            101.3   ,               40.4   ,        50.5   ,                   0.0   ,               73.0   ,
2025-02-05 03:58:53 ,         300.0   ,            101.3   ,               40.4   ,        50.4   ,                   0.0   ,               77.0   ,
2025-02-05 03:58:54 ,         300.0   ,            101.3   ,               40.5   ,        50.5   ,                   0.0   ,               78.0   ,
2025-02-05 03:58:55 ,         300.0   ,            101.3   ,               40.6   ,        50.7   ,                   0.0   ,               66.0   ,
2025-02-05 03:58:58 ,         300.0   ,            101.3   ,               40.8   ,        50.8   ,                   0.0   ,               70.0   ,
2025-02-05 03:58:59 ,         300.0   ,            101.3   ,               41.2   ,        51.2   ,                   0.0   ,               66.0   ,
2025-02-05 03:58:59 ,         300.0   ,            101.3   ,               41.2   ,        51.3   ,                   0.0   ,               73.0   ,
2025-02-05 03:59:00 ,         300.0   ,            101.3   ,               41.3   ,        51.3   ,                   0.0   ,               77.0   ,
