        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , GPU Chip Power Draw [W] , CPU Temperature [°C] ,
2025-02-06 01:29:03 ,         300.0   ,            101.3   ,               34.3   ,        44.0   ,                   0.0   ,               36.0   ,
2025-02-06 01:29:04 ,         300.0   ,            101.3   ,               34.4   ,        44.0   ,                   0.0   ,               49.0   ,
2025-02-06 01:29:05 ,         300.0   ,            101.3   ,               34.3   ,        44.0   ,                   0.0   ,               34.0   ,
2025-02-06 01:29:06 ,         300.0   ,            101.3   ,               34.6   ,        44.3   ,                   0.0   ,               61.0   ,
2025-02-06 01:29:07 ,         960.0   ,           1375.2   ,               35.7   ,        46.8   ,                   0.0   ,               68.0   ,
2025-02-06 01:29:08 ,         960.0   ,           1375.2   ,               36.0   ,        47.4   ,                   0.0   ,               65.0   ,
2025-02-06 01:29:09 ,         960.0   ,           1375.2   ,               36.1   ,        47.6   ,                   0.0   ,               60.0   ,
2025-02-06 01:29:10 ,         960.0   ,           1375.2   ,               36.4   ,        47.9   ,                   0.0   ,               57.0   ,
2025-02-06 01:29:11 ,         960.0   ,           1375.2   ,               36.6   ,        48.0   ,                   0.0   ,               52.0   ,
2025-02-06 01:29:12 ,         960.0   ,           1375.2   ,               36.8   ,        48.2   ,                   0.0   ,               58.0   ,
2025-02-06 01:29:13 ,         960.0   ,           1375.2   ,               37.3   ,        48.7   ,                   0.0   ,               57.0   ,
2025-02-06 01:29:14 ,         960.0   ,           1375.2   ,               37.3   ,        48.8   ,                   0.0   ,               59.0   ,
2025-02-06 01:29:15 ,         960.0   ,           1375.2   ,               37.6   ,        48.9   ,                   0.0   ,               59.0   ,
2025-02-06 01:29:16 ,         960.0   ,           1375.2   ,               37.7   ,        49.2   ,                   0.0   ,               57.0   ,
2025-02-06 01:29:17 ,         960.0   ,           1375.2   ,               38.0   ,        49.4   ,                   0.0   ,               60.0   ,
2025-02-06 01:29:18 ,         960.0   ,           1375.2   ,               38.3   ,        49.7   ,                   0.0   ,               61.0   ,
2025-02-06 01:29:19 ,         960.0   ,           1375.2   ,               38.3   ,        49.7   ,                   0.0   ,               61.0   ,
2025-02-06 01:29:20 ,         960.0   ,           1375.2   ,               38.6   ,        50.1   ,                   0.0   ,               64.0   ,
2025-02-06 01:29:21 ,         960.0   ,           1375.2   ,               38.8   ,        50.5   ,                   0.0   ,               50.0   ,
2025-02-06 01:29:22 ,         960.0   ,           1375.2   ,               39.0   ,        50.3   ,                   0.0   ,               41.0   ,
2025-02-06 01:29:23 ,         960.0   ,           1375.2   ,               39.2   ,        50.5   ,                   0.0   ,               41.0   ,
2025-02-06 01:29:24 ,         960.0   ,           1375.2   ,               39.3   ,        50.7   ,                   0.0   ,               40.0   ,
2025-02-06 01:29:25 ,         960.0   ,           1375.2   ,               39.4   ,        50.8   ,                   0.0   ,               39.0   ,
2025-02-06 01:29:26 ,         960.0   ,           1375.2   ,               39.7   ,        51.0   ,                   0.0   ,               50.0   ,
2025-02-06 01:29:27 ,         960.0   ,           1375.2   ,               39.7   ,        51.1   ,                   0.0   ,               48.0   ,
2025-02-06 01:29:28 ,         960.0   ,           1375.2   ,               39.8   ,        51.3   ,                   0.0   ,               39.0   ,
2025-02-06 01:29:29 ,         960.0   ,           1375.2   ,               39.8   ,        51.1   ,                   0.0   ,               53.0   ,
2025-02-06 01:29:30 ,         960.0   ,           1375.2   ,               39.9   ,        51.0   ,                   0.0   ,               62.0   ,
2025-02-06 01:29:31 ,         960.0   ,           1375.2   ,               39.9   ,        51.2   ,                   0.0   ,               60.0   ,
2025-02-06 01:29:32 ,         960.0   ,           1375.2   ,               40.2   ,        51.4   ,                   0.0   ,               64.0   ,
2025-02-06 01:29:33 ,         960.0   ,           1375.2   ,               40.2   ,        51.7   ,                   0.0   ,               57.0   ,
2025-02-06 01:29:34 ,         960.0   ,           1375.2   ,               40.4   ,        51.7   ,                   0.0   ,               60.0   ,
2025-02-06 01:29:35 ,         960.0   ,           1375.2   ,               40.6   ,        52.1   ,                   0.0   ,               65.0   ,
2025-02-06 01:29:36 ,         960.0   ,           1375.2   ,               40.6   ,        52.1   ,                   0.0   ,               55.0   ,
2025-02-06 01:29:37 ,         960.0   ,           1375.2   ,               40.8   ,        52.3   ,                   0.0   ,               55.0   ,
2025-02-06 01:29:38 ,         960.0   ,           1375.2   ,               41.0   ,        52.4   ,                   0.0   ,               57.0   ,
2025-02-06 01:29:39 ,         960.0   ,           1375.2   ,               41.1   ,        52.4   ,                   0.0   ,               56.0   ,
2025-02-06 01:29:40 ,         960.0   ,           1375.2   ,               41.2   ,        52.7   ,                   0.0   ,               59.0   ,
2025-02-06 01:29:41 ,         960.0   ,           1375.2   ,               41.3   ,        52.7   ,                   0.0   ,               54.0   ,
2025-02-06 01:29:42 ,         960.0   ,           1375.2   ,               41.5   ,        53.0   ,                   0.0   ,               56.0   ,
2025-02-06 01:29:43 ,         960.0   ,           1375.2   ,               41.5   ,        52.9   ,                   0.0   ,               58.0   ,
2025-02-06 01:29:44 ,         960.0   ,           1375.2   ,               41.7   ,        53.3   ,                   0.0   ,               58.0   ,
2025-02-06 01:29:45 ,         960.0   ,           1375.2   ,               41.8   ,        53.1   ,                   0.0   ,               56.0   ,
2025-02-06 01:29:46 ,         960.0   ,           1375.2   ,               41.9   ,        53.3   ,                   0.0   ,               59.0   ,
2025-02-06 01:29:47 ,         960.0   ,           1375.2   ,               42.0   ,        53.3   ,                   0.0   ,               63.0   ,
2025-02-06 01:29:48 ,         960.0   ,           1375.2   ,               42.0   ,        53.5   ,                   0.0   ,               62.0   ,
2025-02-06 01:29:49 ,         960.0   ,           1375.2   ,               42.1   ,        53.4   ,                   0.0   ,               58.0   ,
2025-02-06 01:29:50 ,         960.0   ,           1375.2   ,               42.3   ,        53.6   ,                   0.0   ,               56.0   ,
2025-02-06 01:29:51 ,         960.0   ,           1375.2   ,               42.3   ,        53.6   ,                   0.0   ,               60.0   ,
2025-02-06 01:29:52 ,         960.0   ,           1375.2   ,               42.4   ,        53.8   ,                   0.0   ,               61.0   ,
2025-02-06 01:29:53 ,         960.0   ,           1375.2   ,               42.4   ,        53.7   ,                   0.0   ,               74.0   ,
2025-02-06 01:29:54 ,         960.0   ,           1375.2   ,               42.5   ,        53.9   ,                   0.0   ,               79.0   ,
2025-02-06 01:29:55 ,         960.0   ,           1375.2   ,               42.6   ,        54.1   ,                   0.0   ,               80.0   ,
2025-02-06 01:29:56 ,         960.0   ,           1375.2   ,               42.7   ,        54.2   ,                   0.0   ,               82.0   ,
2025-02-06 01:29:57 ,         960.0   ,           1375.2   ,               43.0   ,        54.4   ,                   0.0   ,               82.0   ,
2025-02-06 01:29:58 ,         960.0   ,           1375.2   ,               43.1   ,        54.4   ,                   0.0   ,               84.0   ,
2025-02-06 01:29:59 ,         960.0   ,           1375.2   ,               43.4   ,        54.9   ,                   0.0   ,               84.0   ,
2025-02-06 01:30:00 ,         960.0   ,           1375.2   ,               43.6   ,        55.3   ,                   0.0   ,               86.0   ,
2025-02-06 01:30:01 ,         960.0   ,           1375.2   ,               43.9   ,        55.5   ,                   0.0   ,               88.0   ,
2025-02-06 01:30:02 ,         960.0   ,           1375.2   ,               44.4   ,        55.9   ,                   0.0   ,               90.0   ,
2025-02-06 01:30:03 ,         960.0   ,           1375.2   ,               44.7   ,        56.1   ,                   0.0   ,               89.0   ,
2025-02-06 01:30:04 ,         960.0   ,           1375.2   ,               45.0   ,        56.7   ,                   0.0   ,               93.0   ,
2025-02-06 01:30:05 ,         960.0   ,           1375.2   ,               45.3   ,        56.8   ,                   0.0   ,               84.0   ,
2025-02-06 01:30:06 ,         960.0   ,           1375.2   ,               45.8   ,        57.3   ,                   0.0   ,               92.0   ,
2025-02-06 01:30:07 ,         960.0   ,           1375.2   ,               46.0   ,        57.6   ,                   0.0   ,               89.0   ,
2025-02-06 01:30:08 ,         960.0   ,           1375.2   ,               46.3   ,        57.8   ,                   0.0   ,               87.0   ,
2025-02-06 01:30:09 ,         960.0   ,           1375.2   ,               46.6   ,        58.1   ,                   0.0   ,               83.0   ,
2025-02-06 01:30:10 ,         960.0   ,           1375.2   ,               46.8   ,        58.2   ,                   0.0   ,               83.0   ,
2025-02-06 01:30:11 ,         960.0   ,           1375.2   ,               47.1   ,        58.7   ,                   0.0   ,               84.0   ,
2025-02-06 01:30:12 ,         960.0   ,           1375.2   ,               47.3   ,        58.9   ,                   0.0   ,               83.0   ,
2025-02-06 01:30:13 ,         960.0   ,           1375.2   ,               47.5   ,        59.2   ,                   0.0   ,               82.0   ,
2025-02-06 01:30:14 ,         960.0   ,           1375.2   ,               47.7   ,        59.2   ,                   0.0   ,               82.0   ,
2025-02-06 01:30:15 ,         960.0   ,           1375.2   ,               47.9   ,        59.5   ,                   0.0   ,               87.0   ,
2025-02-06 01:30:16 ,         960.0   ,           1375.2   ,               48.1   ,        59.5   ,                   0.0   ,               81.0   ,
2025-02-06 01:30:17 ,         960.0   ,           1375.2   ,               48.3   ,        59.9   ,                   0.0   ,               71.0   ,
2025-02-06 01:30:18 ,         960.0   ,           1375.2   ,               48.4   ,        60.1   ,                   0.0   ,               70.0   ,
2025-02-06 01:30:19 ,         960.0   ,           1375.2   ,               48.6   ,        60.4   ,                   0.0   ,               69.0   ,
2025-02-06 01:30:20 ,         960.0   ,           1375.2   ,               48.7   ,        60.5   ,                   0.0   ,               69.0   ,
2025-02-06 01:30:21 ,         960.0   ,           1375.2   ,               48.8   ,        60.6   ,                   0.0   ,               68.0   ,
2025-02-06 01:30:22 ,         960.0   ,           1375.2   ,               48.8   ,        60.4   ,                   0.0   ,               69.0   ,
2025-02-06 01:30:23 ,         960.0   ,           1375.2   ,               48.8   ,        60.6   ,                   0.0   ,               74.0   ,
2025-02-06 01:30:24 ,         960.0   ,           1375.2   ,               48.9   ,        60.7   ,                   0.0   ,               80.0   ,
2025-02-06 01:30:25 ,         960.0   ,           1375.2   ,               49.0   ,        60.7   ,                   0.0   ,               80.0   ,
2025-02-06 01:30:26 ,         960.0   ,           1375.2   ,               49.0   ,        60.7   ,                   0.0   ,               79.0   ,
2025-02-06 01:30:27 ,         960.0   ,           1375.2   ,               49.1   ,        60.8   ,                   0.0   ,               82.0   ,
2025-02-06 01:30:28 ,         960.0   ,           1375.2   ,               49.2   ,        60.9   ,                   0.0   ,               87.0   ,
2025-02-06 01:30:29 ,         960.0   ,           1375.2   ,               49.3   ,        60.9   ,                   0.0   ,               75.0   ,
2025-02-06 01:30:30 ,         960.0   ,           1375.2   ,               49.5   ,        61.3   ,                   0.0   ,               85.0   ,
2025-02-06 01:30:31 ,         960.0   ,           1375.2   ,               49.5   ,        61.1   ,                   0.0   ,               85.0   ,
2025-02-06 01:30:32 ,         960.0   ,           1375.2   ,               49.5   ,        61.3   ,                   0.0   ,               78.0   ,
2025-02-06 01:30:33 ,         960.0   ,           1375.2   ,               49.6   ,        61.4   ,                   0.0   ,               78.0   ,
2025-02-06 01:30:34 ,         960.0   ,           1375.2   ,               49.7   ,        61.6   ,                   0.0   ,               75.0   ,
2025-02-06 01:30:35 ,         960.0   ,           1375.2   ,               49.7   ,        61.6   ,                   0.0   ,               77.0   ,
2025-02-06 01:30:36 ,         960.0   ,           1375.2   ,               49.8   ,        61.6   ,                   0.0   ,               73.0   ,
2025-02-06 01:30:37 ,         960.0   ,           1375.2   ,               50.0   ,        61.8   ,                   0.0   ,               77.0   ,
2025-02-06 01:30:38 ,         960.0   ,           1375.2   ,               49.9   ,        61.6   ,                   0.0   ,               77.0   ,
2025-02-06 01:30:39 ,         960.0   ,           1375.2   ,               50.1   ,        61.8   ,                   0.0   ,               75.0   ,
2025-02-06 01:30:40 ,         960.0   ,           1375.2   ,               50.1   ,        61.8   ,                   0.0   ,               77.0   ,
2025-02-06 01:30:41 ,         960.0   ,           1375.2   ,               50.0   ,        61.6   ,                   0.0   ,               74.0   ,
2025-02-06 01:30:42 ,         960.0   ,           1375.2   ,               49.9   ,        61.5   ,                   0.0   ,               75.0   ,
