        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , GPU Chip Power Draw [W] , CPU Temperature [°C] ,
2025-02-05 03:22:02 ,         300.0   ,            101.3   ,               35.4   ,        45.0   ,                   0.0   ,               47.0   ,
2025-02-05 03:22:03 ,         300.0   ,            101.3   ,               35.6   ,        45.4   ,                   0.0   ,               46.0   ,
2025-02-05 03:22:04 ,         300.0   ,            101.3   ,               35.5   ,        45.3   ,                   0.0   ,               44.0   ,
2025-02-05 03:22:05 ,         300.0   ,            101.3   ,               35.6   ,        45.5   ,                   0.0   ,               37.0   ,
2025-02-05 03:22:06 ,         300.0   ,            101.3   ,               35.6   ,        45.2   ,                   0.0   ,               45.0   ,
2025-02-05 03:22:07 ,         300.0   ,            101.3   ,               35.6   ,        45.0   ,                   0.0   ,               35.0   ,
2025-02-05 03:22:08 ,         960.0   ,           1375.2   ,               35.8   ,        45.9   ,                   0.0   ,               53.0   ,
2025-02-05 03:22:09 ,         960.0   ,           1375.2   ,               36.9   ,        48.1   ,                   0.0   ,               53.0   ,
2025-02-05 03:22:10 ,         960.0   ,           1375.2   ,               37.1   ,        48.4   ,                   0.0   ,               59.0   ,
2025-02-05 03:22:11 ,         375.0   ,            101.3   ,               37.0   ,        47.9   ,                   0.0   ,               52.0   ,
2025-02-05 03:22:12 ,         960.0   ,           1375.2   ,               37.5   ,        48.8   ,                   0.0   ,               48.0   ,
2025-02-05 03:22:13 ,         960.0   ,           1375.2   ,               37.8   ,        49.2   ,                   0.0   ,               39.0   ,
2025-02-05 03:22:14 ,         390.0   ,            202.5   ,               37.7   ,        48.8   ,                   0.0   ,               39.0   ,
2025-02-05 03:22:15 ,         375.0   ,            101.3   ,               37.3   ,        47.4   ,                   0.0   ,               49.0   ,
2025-02-05 03:22:16 ,         780.0   ,            202.5   ,               37.1   ,        47.1   ,                   0.0   ,               56.0   ,
2025-02-05 03:22:17 ,         780.0   ,            202.5   ,               37.3   ,        47.4   ,                   0.0   ,               52.0   ,
2025-02-05 03:22:18 ,         735.0   ,            202.5   ,               37.7   ,        47.9   ,                   0.0   ,               60.0   ,
2025-02-05 03:22:19 ,         960.0   ,           1375.2   ,               38.4   ,        49.7   ,                   0.0   ,               65.0   ,
2025-02-05 03:22:20 ,         960.0   ,           1375.2   ,               38.8   ,        50.1   ,                   0.0   ,               70.0   ,
2025-02-05 03:22:21 ,         540.0   ,            202.5   ,               38.8   ,        49.9   ,                   0.0   ,               62.0   ,
2025-02-05 03:22:22 ,         375.0   ,            101.3   ,               38.1   ,        48.1   ,                   0.0   ,               67.0   ,
2025-02-05 03:22:23 ,         375.0   ,            101.3   ,               38.0   ,        47.8   ,                   0.0   ,               64.0   ,
2025-02-05 03:22:24 ,         300.0   ,            101.3   ,               38.0   ,        47.5   ,                   0.0   ,               68.0   ,
2025-02-05 03:22:25 ,         300.0   ,            101.3   ,               38.0   ,        47.6   ,                   0.0   ,               63.0   ,
2025-02-05 03:22:26 ,         300.0   ,            101.3   ,               38.0   ,        47.8   ,                   0.0   ,               61.0   ,
