        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , GPU Chip Power Draw [W] , CPU Temperature [°C] ,
2025-02-05 19:49:37 ,         300.0   ,            101.3   ,               36.2   ,        45.6   ,                   0.0   ,               36.0   ,
2025-02-05 19:49:38 ,         300.0   ,            101.3   ,               36.1   ,        45.7   ,                   0.0   ,               36.0   ,
2025-02-05 19:49:39 ,         300.0   ,            101.3   ,               36.2   ,        45.8   ,                   0.0   ,               46.0   ,
2025-02-05 19:49:40 ,         300.0   ,            101.3   ,               36.2   ,        45.7   ,                   0.0   ,               62.0   ,
2025-02-05 19:49:41 ,         300.0   ,            101.3   ,               36.2   ,        45.8   ,                   0.0   ,               66.0   ,
2025-02-05 19:49:42 ,         300.0   ,            101.3   ,               36.2   ,        45.7   ,                   0.0   ,               72.0   ,
2025-02-05 19:49:43 ,         300.0   ,            101.3   ,               36.3   ,        45.8   ,                   0.0   ,               67.0   ,
2025-02-05 19:49:44 ,         300.0   ,            101.3   ,               36.2   ,        45.7   ,                   0.0   ,               67.0   ,
2025-02-05 19:49:45 ,         300.0   ,            101.3   ,               36.3   ,        45.7   ,                   0.0   ,               68.0   ,
2025-02-05 19:49:46 ,         300.0   ,            101.3   ,               36.4   ,        45.8   ,                   0.0   ,               62.0   ,
2025-02-05 19:49:47 ,         300.0   ,            101.3   ,               36.6   ,        46.1   ,                   0.0   ,               60.0   ,
2025-02-05 19:49:48 ,         300.0   ,            101.3   ,               36.5   ,        45.9   ,                   0.0   ,               60.0   ,
2025-02-05 19:49:49 ,         300.0   ,            101.3   ,               36.6   ,        46.1   ,                   0.0   ,               59.0   ,
2025-02-05 19:49:50 ,         300.0   ,            101.3   ,               36.6   ,        46.1   ,                   0.0   ,               61.0   ,
2025-02-05 19:49:51 ,         300.0   ,            101.3   ,               36.7   ,        46.1   ,                   0.0   ,               58.0   ,
2025-02-05 19:49:52 ,         300.0   ,            101.3   ,               36.7   ,        46.2   ,                   0.0   ,               69.0   ,
2025-02-05 19:49:53 ,         300.0   ,            101.3   ,               36.9   ,        46.4   ,                   0.0   ,               69.0   ,
2025-02-05 19:49:54 ,         300.0   ,            101.3   ,               36.9   ,        46.3   ,                   0.0   ,               67.0   ,
2025-02-05 19:49:55 ,         300.0   ,            101.3   ,               36.9   ,        46.4   ,                   0.0   ,               62.0   ,
2025-02-05 19:49:56 ,         300.0   ,            101.3   ,               36.9   ,        46.4   ,                   0.0   ,               62.0   ,
2025-02-05 19:49:57 ,         300.0   ,            101.3   ,               37.3   ,        46.7   ,                   0.0   ,               63.0   ,
2025-02-05 19:49:58 ,         300.0   ,            101.3   ,               37.3   ,        46.7   ,                   0.0   ,               64.0   ,
2025-02-05 19:49:59 ,         300.0   ,            101.3   ,               37.4   ,        46.8   ,                   0.0   ,               62.0   ,
2025-02-05 19:50:00 ,         300.0   ,            101.3   ,               37.3   ,        46.8   ,                   0.0   ,               64.0   ,
2025-02-05 19:50:01 ,         300.0   ,            101.3   ,               37.5   ,        46.8   ,                   0.0   ,               63.0   ,
2025-02-05 19:50:02 ,         300.0   ,            101.3   ,               37.5   ,        47.0   ,                   0.0   ,               59.0   ,
2025-02-05 19:50:03 ,         300.0   ,            101.3   ,               37.5   ,        46.9   ,                   0.0   ,               66.0   ,
2025-02-05 19:50:04 ,         300.0   ,            101.3   ,               37.7   ,        47.2   ,                   0.0   ,               63.0   ,
2025-02-05 19:50:05 ,         300.0   ,            101.3   ,               37.7   ,        47.1   ,                   0.0   ,               70.0   ,
2025-02-05 19:50:06 ,         300.0   ,            101.3   ,               37.7   ,        47.3   ,                   0.0   ,               61.0   ,
2025-02-05 19:50:07 ,         300.0   ,            101.3   ,               37.9   ,        47.4   ,                   0.0   ,               65.0   ,
2025-02-05 19:50:08 ,         300.0   ,            101.3   ,               37.9   ,        47.3   ,                   0.0   ,               66.0   ,
