        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , GPU Chip Power Draw [W] , CPU Temperature [°C] ,
2025-02-04 19:41:32 ,         375.0   ,            101.3   ,               65.5   ,        75.7   ,                   0.0   ,               82.0   ,
2025-02-04 19:41:33 ,         480.0   ,            101.3   ,               65.6   ,        75.7   ,                   0.0   ,               70.0   ,
2025-02-04 19:41:34 ,         510.0   ,            101.3   ,               65.6   ,        75.6   ,                   0.0   ,               68.0   ,
2025-02-04 19:41:35 ,         510.0   ,            101.3   ,               65.6   ,        75.7   ,                   0.0   ,               76.0   ,
2025-02-04 19:41:37 ,         960.0   ,           1375.2   ,               66.7   ,        78.0   ,                   0.0   ,               85.0   ,
2025-02-04 19:41:37 ,         960.0   ,           1375.2   ,               67.0   ,        78.4   ,                   0.0   ,               69.0   ,
2025-02-04 19:41:38 ,         960.0   ,           1375.2   ,               67.2   ,        78.8   ,                   0.0   ,               73.0   ,
2025-02-04 19:41:39 ,         375.0   ,            101.3   ,               66.2   ,        76.8   ,                   0.0   ,               76.0   ,
2025-02-04 19:41:41 ,         375.0   ,            101.3   ,               65.5   ,        75.8   ,                   0.0   ,               72.0   ,
2025-02-04 19:41:42 ,         375.0   ,            101.3   ,               65.0   ,        75.3   ,                   0.0   ,               70.0   ,
2025-02-04 19:41:43 ,         360.0   ,            101.3   ,               64.7   ,        75.0   ,                   0.0   ,               71.0   ,
2025-02-04 19:41:44 ,         360.0   ,            101.3   ,               64.2   ,        74.5   ,                   0.0   ,               71.0   ,
2025-02-04 19:41:45 ,         360.0   ,            101.3   ,               63.9   ,        74.0   ,                   0.0   ,               64.0   ,
2025-02-04 19:41:46 ,         360.0   ,            101.3   ,               63.4   ,        73.6   ,                   0.0   ,               69.0   ,
2025-02-04 19:41:47 ,         360.0   ,            101.3   ,               63.0   ,        73.1   ,                   0.0   ,               67.0   ,
2025-02-04 19:41:48 ,         360.0   ,            101.3   ,               62.6   ,        72.8   ,                   0.0   ,               63.0   ,
2025-02-04 19:41:49 ,         360.0   ,            101.3   ,               62.3   ,        72.7   ,                   0.0   ,               73.0   ,
2025-02-04 19:41:50 ,         360.0   ,            101.3   ,               61.9   ,        72.3   ,                   0.0   ,               71.0   ,
2025-02-04 19:41:51 ,         360.0   ,            101.3   ,               61.5   ,        71.8   ,                   0.0   ,               69.0   ,
2025-02-04 19:41:52 ,         360.0   ,            101.3   ,               61.2   ,        71.3   ,                   0.0   ,               67.0   ,
2025-02-04 19:41:53 ,         360.0   ,            101.3   ,               60.9   ,        70.9   ,                   0.0   ,               61.0   ,
2025-02-04 19:41:54 ,         360.0   ,            101.3   ,               60.4   ,        70.6   ,                   0.0   ,               66.0   ,
2025-02-04 19:41:55 ,         360.0   ,            101.3   ,               60.1   ,        70.3   ,                   0.0   ,               60.0   ,
2025-02-04 19:41:56 ,         360.0   ,            101.3   ,               59.8   ,        70.0   ,                   0.0   ,               62.0   ,
2025-02-04 19:41:57 ,         360.0   ,            101.3   ,               59.5   ,        69.8   ,                   0.0   ,               61.0   ,
2025-02-04 19:41:58 ,         360.0   ,            101.3   ,               59.1   ,        69.3   ,                   0.0   ,               69.0   ,
2025-02-04 19:41:59 ,         360.0   ,            101.3   ,               58.7   ,        68.8   ,                   0.0   ,               59.0   ,
2025-02-04 19:42:00 ,         360.0   ,            101.3   ,               58.5   ,        68.8   ,                   0.0   ,               65.0   ,
2025-02-04 19:42:01 ,         375.0   ,            101.3   ,               58.2   ,        68.3   ,                   0.0   ,               56.0   ,
2025-02-04 19:42:02 ,         360.0   ,            101.3   ,               57.8   ,        68.0   ,                   0.0   ,               58.0   ,
2025-02-04 19:42:03 ,         360.0   ,            101.3   ,               57.7   ,        67.9   ,                   0.0   ,               57.0   ,
2025-02-04 19:42:04 ,         360.0   ,            101.3   ,               57.4   ,        67.6   ,                   0.0   ,               65.0   ,
2025-02-04 19:42:05 ,         360.0   ,            101.3   ,               57.1   ,        67.3   ,                   0.0   ,               67.0   ,
2025-02-04 19:42:06 ,         360.0   ,            101.3   ,               56.8   ,        67.1   ,                   0.0   ,               70.0   ,
2025-02-04 19:42:07 ,         360.0   ,            101.3   ,               56.6   ,        66.8   ,                   0.0   ,               59.0   ,
2025-02-04 19:42:08 ,         360.0   ,            101.3   ,               56.3   ,        66.3   ,                   0.0   ,               74.0   ,
2025-02-04 19:42:09 ,         360.0   ,            101.3   ,               56.0   ,        66.1   ,                   0.0   ,               56.0   ,
2025-02-04 19:42:10 ,         360.0   ,            101.3   ,               55.8   ,        65.7   ,                   0.0   ,               56.0   ,
2025-02-04 19:42:11 ,         360.0   ,            101.3   ,               55.5   ,        65.5   ,                   0.0   ,               71.0   ,
2025-02-04 19:42:12 ,         360.0   ,            101.3   ,               55.3   ,        65.5   ,                   0.0   ,               62.0   ,
2025-02-04 19:42:13 ,         360.0   ,            101.3   ,               55.2   ,        65.3   ,                   0.0   ,               56.0   ,
2025-02-04 19:42:14 ,         360.0   ,            101.3   ,               54.8   ,        65.2   ,                   0.0   ,               59.0   ,
2025-02-04 19:42:15 ,         360.0   ,            101.3   ,               54.7   ,        64.8   ,                   0.0   ,               57.0   ,
2025-02-04 19:42:16 ,         360.0   ,            101.3   ,               54.5   ,        64.8   ,                   0.0   ,               54.0   ,
2025-02-04 19:42:17 ,         360.0   ,            101.3   ,               54.4   ,        64.5   ,                   0.0   ,               62.0   ,
2025-02-04 19:42:18 ,         375.0   ,            101.3   ,               54.1   ,        64.3   ,                   0.0   ,               64.0   ,
2025-02-04 19:42:19 ,         390.0   ,            101.3   ,               54.0   ,        64.0   ,                   0.0   ,               54.0   ,
2025-02-04 19:42:20 ,         450.0   ,            101.3   ,               53.7   ,        63.8   ,                   0.0   ,               61.0   ,
2025-02-04 19:42:21 ,         450.0   ,            101.3   ,               53.6   ,        63.7   ,                   0.0   ,               60.0   ,
2025-02-04 19:42:22 ,         450.0   ,            101.3   ,               53.4   ,        63.5   ,                   0.0   ,               54.0   ,
2025-02-04 19:42:23 ,         390.0   ,            101.3   ,               53.2   ,        63.3   ,                   0.0   ,               56.0   ,
2025-02-04 19:42:24 ,         375.0   ,            101.3   ,               53.1   ,        63.2   ,                   0.0   ,               58.0   ,
2025-02-04 19:42:25 ,         360.0   ,            101.3   ,               52.9   ,        63.0   ,                   0.0   ,               57.0   ,
2025-02-04 19:42:26 ,         360.0   ,            101.3   ,               52.7   ,        62.8   ,                   0.0   ,               61.0   ,
2025-02-04 19:42:27 ,         360.0   ,            101.3   ,               52.4   ,        62.4   ,                   0.0   ,               52.0   ,
2025-02-04 19:42:28 ,         360.0   ,            101.3   ,               52.3   ,        62.3   ,                   0.0   ,               52.0   ,
2025-02-04 19:42:29 ,         375.0   ,            101.3   ,               52.2   ,        62.3   ,                   0.0   ,               59.0   ,
2025-02-04 19:42:30 ,         360.0   ,            101.3   ,               52.0   ,        62.0   ,                   0.0   ,               61.0   ,
2025-02-04 19:42:31 ,         360.0   ,            101.3   ,               51.7   ,        61.6   ,                   0.0   ,               68.0   ,
2025-02-04 19:42:32 ,         360.0   ,            101.3   ,               51.7   ,        61.6   ,                   0.0   ,               66.0   ,
2025-02-04 19:42:33 ,         360.0   ,            101.3   ,               51.5   ,        61.4   ,                   0.0   ,               62.0   ,
2025-02-04 19:42:34 ,         360.0   ,            101.3   ,               51.4   ,        61.3   ,                   0.0   ,               59.0   ,
2025-02-04 19:42:35 ,         360.0   ,            101.3   ,               51.3   ,        61.3   ,                   0.0   ,               62.0   ,
2025-02-04 19:42:36 ,         360.0   ,            101.3   ,               51.3   ,        61.3   ,                   0.0   ,               70.0   ,
2025-02-04 19:42:37 ,         405.0   ,            101.3   ,               51.1   ,        61.2   ,                   0.0   ,               62.0   ,
2025-02-04 19:42:38 ,         405.0   ,            101.3   ,               51.0   ,        61.0   ,                   0.0   ,               59.0   ,
2025-02-04 19:42:39 ,         405.0   ,            101.3   ,               51.0   ,        60.8   ,                   0.0   ,               54.0   ,
2025-02-04 19:42:40 ,         390.0   ,            101.3   ,               50.7   ,        60.8   ,                   0.0   ,               52.0   ,
2025-02-04 19:42:41 ,         390.0   ,            101.3   ,               50.8   ,        60.8   ,                   0.0   ,               52.0   ,
2025-02-04 19:42:42 ,         375.0   ,            101.3   ,               50.6   ,        60.6   ,                   0.0   ,               58.0   ,
2025-02-04 19:42:43 ,         360.0   ,            101.3   ,               50.5   ,        60.5   ,                   0.0   ,               63.0   ,
2025-02-04 19:42:44 ,         360.0   ,            101.3   ,               50.3   ,        60.2   ,                   0.0   ,               58.0   ,
2025-02-04 19:42:45 ,         360.0   ,            101.3   ,               50.2   ,        60.1   ,                   0.0   ,               54.0   ,
2025-02-04 19:42:46 ,         360.0   ,            101.3   ,               50.1   ,        60.0   ,                   0.0   ,               57.0   ,
2025-02-04 19:42:47 ,         375.0   ,            101.3   ,               50.1   ,        60.2   ,                   0.0   ,               50.0   ,
2025-02-04 19:42:48 ,         390.0   ,            101.3   ,               49.9   ,        59.9   ,                   0.0   ,               55.0   ,
2025-02-04 19:42:49 ,         450.0   ,            101.3   ,               49.7   ,        59.7   ,                   0.0   ,               53.0   ,
2025-02-04 19:42:50 ,         480.0   ,            101.3   ,               49.8   ,        59.8   ,                   0.0   ,               58.0   ,
2025-02-04 19:42:51 ,         495.0   ,            101.3   ,               49.5   ,        59.6   ,                   0.0   ,               50.0   ,
2025-02-04 19:42:52 ,         435.0   ,            101.3   ,               49.4   ,        59.4   ,                   0.0   ,               54.0   ,
2025-02-04 19:42:53 ,         405.0   ,            101.3   ,               49.3   ,        59.3   ,                   0.0   ,               65.0   ,
2025-02-04 19:42:54 ,         375.0   ,            101.3   ,               49.3   ,        59.2   ,                   0.0   ,               51.0   ,
2025-02-04 19:42:55 ,         360.0   ,            101.3   ,               49.2   ,        59.2   ,                   0.0   ,               63.0   ,
2025-02-04 19:42:56 ,         360.0   ,            101.3   ,               48.9   ,        58.8   ,                   0.0   ,               53.0   ,
2025-02-04 19:42:57 ,         360.0   ,            101.3   ,               48.8   ,        58.8   ,                   0.0   ,               49.0   ,
2025-02-04 19:42:58 ,         360.0   ,            101.3   ,               48.8   ,        58.7   ,                   0.0   ,               62.0   ,
2025-02-04 19:42:59 ,         360.0   ,            101.3   ,               48.8   ,        58.8   ,                   0.0   ,               49.0   ,
2025-02-04 19:43:00 ,         390.0   ,            101.3   ,               48.7   ,        58.8   ,                   0.0   ,               48.0   ,
2025-02-04 19:43:01 ,         390.0   ,            101.3   ,               48.5   ,        58.4   ,                   0.0   ,               50.0   ,
2025-02-04 19:43:02 ,         360.0   ,            101.3   ,               48.4   ,        58.5   ,                   0.0   ,               56.0   ,
2025-02-04 19:43:03 ,         360.0   ,            101.3   ,               48.3   ,        58.3   ,                   0.0   ,               49.0   ,
2025-02-04 19:43:04 ,         360.0   ,            101.3   ,               48.2   ,        58.1   ,                   0.0   ,               48.0   ,
2025-02-04 19:43:05 ,         360.0   ,            101.3   ,               48.1   ,        58.0   ,                   0.0   ,               50.0   ,
2025-02-04 19:43:06 ,         360.0   ,            101.3   ,               47.9   ,        57.8   ,                   0.0   ,               48.0   ,
2025-02-04 19:43:07 ,         405.0   ,            101.3   ,               47.9   ,        57.9   ,                   0.0   ,               47.0   ,
2025-02-04 19:43:08 ,         405.0   ,            101.3   ,               47.7   ,        57.6   ,                   0.0   ,               50.0   ,
2025-02-04 19:43:09 ,         420.0   ,            101.3   ,               47.7   ,        57.8   ,                   0.0   ,               48.0   ,
2025-02-04 19:43:10 ,         420.0   ,            101.3   ,               47.5   ,        57.4   ,                   0.0   ,               59.0   ,
2025-02-04 19:43:11 ,         450.0   ,            101.3   ,               47.6   ,        57.4   ,                   0.0   ,               56.0   ,
2025-02-04 19:43:12 ,         465.0   ,            101.3   ,               47.4   ,        57.3   ,                   0.0   ,               51.0   ,
2025-02-04 19:43:13 ,         465.0   ,            101.3   ,               47.3   ,        57.1   ,                   0.0   ,               52.0   ,
2025-02-04 19:43:14 ,         375.0   ,            101.3   ,               47.2   ,        57.1   ,                   0.0   ,               47.0   ,
2025-02-04 19:43:15 ,         375.0   ,            101.3   ,               47.3   ,        57.3   ,                   0.0   ,               47.0   ,
2025-02-04 19:43:16 ,         375.0   ,            101.3   ,               47.2   ,        57.2   ,                   0.0   ,               48.0   ,
2025-02-04 19:43:17 ,         375.0   ,            101.3   ,               47.0   ,        56.9   ,                   0.0   ,               50.0   ,
2025-02-04 19:43:18 ,         375.0   ,            101.3   ,               46.9   ,        56.8   ,                   0.0   ,               53.0   ,
2025-02-04 19:43:19 ,         375.0   ,            101.3   ,               46.7   ,        56.8   ,                   0.0   ,               54.0   ,
2025-02-04 19:43:20 ,         375.0   ,            101.3   ,               46.7   ,        56.7   ,                   0.0   ,               56.0   ,
2025-02-04 19:43:21 ,         375.0   ,            101.3   ,               46.6   ,        56.4   ,                   0.0   ,               52.0   ,
2025-02-04 19:43:22 ,         375.0   ,            101.3   ,               46.4   ,        56.4   ,                   0.0   ,               49.0   ,
2025-02-04 19:43:23 ,         375.0   ,            101.3   ,               46.5   ,        56.4   ,                   0.0   ,               48.0   ,
