        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , GPU Chip Power Draw [W] , CPU Temperature [°C] ,
2025-02-04 19:50:06 ,         555.0   ,            101.3   ,               41.7   ,        51.5   ,                   0.0   ,               57.0   ,
2025-02-04 19:50:07 ,         675.0   ,            202.5   ,               41.5   ,        51.4   ,                   0.0   ,               69.0   ,
2025-02-04 19:50:08 ,         375.0   ,            101.3   ,               41.5   ,        51.3   ,                   0.0   ,               52.0   ,
2025-02-04 19:50:09 ,         375.0   ,            101.3   ,               41.4   ,        51.2   ,                   0.0   ,               43.0   ,
2025-02-04 19:50:10 ,         300.0   ,            101.3   ,               41.3   ,        50.8   ,                   0.0   ,               57.0   ,
2025-02-04 19:50:11 ,         300.0   ,            101.3   ,               41.2   ,        50.7   ,                   0.0   ,               51.0   ,
2025-02-04 19:50:12 ,         300.0   ,            101.3   ,               41.2   ,        50.7   ,                   0.0   ,               58.0   ,
2025-02-04 19:50:13 ,         300.0   ,            101.3   ,               41.3   ,        50.8   ,                   0.0   ,               59.0   ,
2025-02-04 19:50:14 ,         300.0   ,            101.3   ,               41.1   ,        50.7   ,                   0.0   ,               62.0   ,
2025-02-04 19:50:15 ,         300.0   ,            101.3   ,               41.2   ,        50.7   ,                   0.0   ,               61.0   ,
2025-02-04 19:50:16 ,         300.0   ,            101.3   ,               41.1   ,        50.7   ,                   0.0   ,               59.0   ,
2025-02-04 19:50:17 ,         300.0   ,            101.3   ,               41.0   ,        50.6   ,                   0.0   ,               46.0   ,
2025-02-04 19:50:18 ,         300.0   ,            101.3   ,               41.1   ,        50.6   ,                   0.0   ,               44.0   ,
2025-02-04 19:50:19 ,         300.0   ,            101.3   ,               41.2   ,        50.8   ,                   0.0   ,               43.0   ,
2025-02-04 19:50:20 ,         300.0   ,            101.3   ,               41.0   ,        50.6   ,                   0.0   ,               45.0   ,
2025-02-04 19:50:21 ,         300.0   ,            101.3   ,               41.1   ,        50.6   ,                   0.0   ,               43.0   ,
2025-02-04 19:50:22 ,         300.0   ,            101.3   ,               40.9   ,        50.6   ,                   0.0   ,               48.0   ,
2025-02-04 19:50:23 ,         300.0   ,            101.3   ,               40.9   ,        50.4   ,                   0.0   ,               42.0   ,
2025-02-04 19:50:24 ,         300.0   ,            101.3   ,               40.9   ,        50.4   ,                   0.0   ,               42.0   ,
2025-02-04 19:50:25 ,         300.0   ,            101.3   ,               40.8   ,        50.5   ,                   0.0   ,               53.0   ,
2025-02-04 19:50:26 ,         300.0   ,            101.3   ,               40.9   ,        50.5   ,                   0.0   ,               40.0   ,
2025-02-04 19:50:27 ,         300.0   ,            101.3   ,               40.7   ,        50.2   ,                   0.0   ,               40.0   ,
2025-02-04 19:50:28 ,         300.0   ,            101.3   ,               40.7   ,        50.3   ,                   0.0   ,               41.0   ,
2025-02-04 19:50:29 ,         300.0   ,            101.3   ,               40.7   ,        50.3   ,                   0.0   ,               40.0   ,
2025-02-04 19:50:30 ,         300.0   ,            101.3   ,               40.6   ,        50.2   ,                   0.0   ,               49.0   ,
2025-02-04 19:50:31 ,         300.0   ,            101.3   ,               40.5   ,        50.1   ,                   0.0   ,               39.0   ,
2025-02-04 19:50:32 ,         300.0   ,            101.3   ,               40.4   ,        50.0   ,                   0.0   ,               39.0   ,
2025-02-04 19:50:33 ,         300.0   ,            101.3   ,               40.3   ,        50.0   ,                   0.0   ,               39.0   ,
2025-02-04 19:50:34 ,         300.0   ,            101.3   ,               40.2   ,        49.8   ,                   0.0   ,               39.0   ,
2025-02-04 19:50:35 ,         300.0   ,            101.3   ,               40.2   ,        49.7   ,                   0.0   ,               50.0   ,
2025-02-04 19:50:36 ,         300.0   ,            101.3   ,               40.1   ,        49.9   ,                   0.0   ,               39.0   ,
2025-02-04 19:50:37 ,         300.0   ,            101.3   ,               40.1   ,        49.8   ,                   0.0   ,               40.0   ,
2025-02-04 19:50:38 ,         300.0   ,            101.3   ,               40.0   ,        49.4   ,                   0.0   ,               40.0   ,
2025-02-04 19:50:39 ,         300.0   ,            101.3   ,               39.9   ,        49.6   ,                   0.0   ,               47.0   ,
2025-02-04 19:50:40 ,         300.0   ,            101.3   ,               39.9   ,        49.5   ,                   0.0   ,               39.0   ,
2025-02-04 19:50:41 ,         300.0   ,            101.3   ,               39.7   ,        49.3   ,                   0.0   ,               39.0   ,
2025-02-04 19:50:42 ,         300.0   ,            101.3   ,               39.8   ,        49.4   ,                   0.0   ,               39.0   ,
2025-02-04 19:50:43 ,         300.0   ,            101.3   ,               39.6   ,        49.4   ,                   0.0   ,               38.0   ,
