        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , GPU Chip Power Draw [W] , CPU Temperature [°C] ,
2025-02-04 20:23:46 ,         300.0   ,            101.3   ,               32.0   ,        41.6   ,                   0.0   ,               36.0   ,
2025-02-04 20:23:47 ,         300.0   ,            101.3   ,               32.0   ,        41.7   ,                   0.0   ,               46.0   ,
2025-02-04 20:23:48 ,         960.0   ,           1375.2   ,               33.2   ,        44.2   ,                   0.0   ,               41.0   ,
2025-02-04 20:23:49 ,         960.0   ,           1375.2   ,               33.4   ,        44.8   ,                   0.0   ,               49.0   ,
2025-02-04 20:23:50 ,         375.0   ,            101.3   ,               32.8   ,        43.2   ,                   0.0   ,               36.0   ,
2025-02-04 20:23:51 ,         375.0   ,            101.3   ,               32.6   ,        42.4   ,                   0.0   ,               34.0   ,
2025-02-04 20:23:52 ,         300.0   ,            101.3   ,               32.5   ,        42.3   ,                   0.0   ,               32.0   ,
2025-02-04 20:23:53 ,         300.0   ,            101.3   ,               32.6   ,        42.3   ,                   0.0   ,               58.0   ,
2025-02-04 20:23:54 ,         300.0   ,            101.3   ,               32.5   ,        42.6   ,                   0.0   ,               50.0   ,
2025-02-04 20:23:55 ,         300.0   ,            101.3   ,               32.6   ,        42.4   ,                   0.0   ,               61.0   ,
2025-02-04 20:23:56 ,         300.0   ,            101.3   ,               32.5   ,        42.3   ,                   0.0   ,               58.0   ,
2025-02-04 20:23:57 ,         300.0   ,            101.3   ,               32.6   ,        42.2   ,                   0.0   ,               59.0   ,
2025-02-04 20:23:58 ,         300.0   ,            101.3   ,               32.8   ,        42.3   ,                   0.0   ,               59.0   ,
2025-02-04 20:23:59 ,         300.0   ,            101.3   ,               32.8   ,        42.5   ,                   0.0   ,               58.0   ,
2025-02-04 20:24:00 ,         300.0   ,            101.3   ,               33.1   ,        42.8   ,                   0.0   ,               58.0   ,
2025-02-04 20:24:01 ,         300.0   ,            101.3   ,               33.2   ,        42.8   ,                   0.0   ,               59.0   ,
2025-02-04 20:24:02 ,         960.0   ,           1375.2   ,               34.3   ,        45.2   ,                   0.0   ,               55.0   ,
2025-02-04 20:24:03 ,         960.0   ,           1375.2   ,               34.5   ,        45.8   ,                   0.0   ,               61.0   ,
2025-02-04 20:24:04 ,         960.0   ,           1375.2   ,               34.8   ,        46.0   ,                   0.0   ,               61.0   ,
2025-02-04 20:24:05 ,         960.0   ,           1375.2   ,               35.0   ,        46.3   ,                   0.0   ,               55.0   ,
2025-02-04 20:24:06 ,         960.0   ,           1375.2   ,               35.4   ,        46.6   ,                   0.0   ,               60.0   ,
2025-02-04 20:24:07 ,         960.0   ,           1375.2   ,               35.5   ,        46.7   ,                   0.0   ,               61.0   ,
2025-02-04 20:24:08 ,         375.0   ,            101.3   ,               34.9   ,        45.2   ,                   0.0   ,               67.0   ,
2025-02-04 20:24:09 ,         300.0   ,            101.3   ,               34.5   ,        44.3   ,                   0.0   ,               63.0   ,
2025-02-04 20:24:10 ,         300.0   ,            101.3   ,               34.6   ,        44.4   ,                   0.0   ,               58.0   ,
2025-02-04 20:24:11 ,         300.0   ,            101.3   ,               34.9   ,        44.5   ,                   0.0   ,               61.0   ,
2025-02-04 20:24:12 ,         300.0   ,            101.3   ,               34.8   ,        44.5   ,                   0.0   ,               53.0   ,
2025-02-04 20:24:13 ,         300.0   ,            101.3   ,               34.8   ,        44.4   ,                   0.0   ,               59.0   ,
2025-02-04 20:24:14 ,         300.0   ,            101.3   ,               34.9   ,        44.7   ,                   0.0   ,               62.0   ,
2025-02-04 20:24:15 ,         300.0   ,            101.3   ,               35.1   ,        44.9   ,                   0.0   ,               64.0   ,
2025-02-04 20:24:16 ,         960.0   ,           1375.2   ,               36.1   ,        47.1   ,                   0.0   ,               62.0   ,
2025-02-04 20:24:17 ,         960.0   ,           1375.2   ,               36.4   ,        47.5   ,                   0.0   ,               62.0   ,
2025-02-04 20:24:18 ,         960.0   ,           1375.2   ,               36.7   ,        48.0   ,                   0.0   ,               65.0   ,
2025-02-04 20:24:19 ,         375.0   ,            101.3   ,               36.1   ,        46.5   ,                   0.0   ,               65.0   ,
2025-02-04 20:24:20 ,         375.0   ,            101.3   ,               36.0   ,        45.7   ,                   0.0   ,               59.0   ,
2025-02-04 20:24:21 ,         300.0   ,            101.3   ,               35.8   ,        45.4   ,                   0.0   ,               60.0   ,
2025-02-04 20:24:22 ,         300.0   ,            101.3   ,               35.8   ,        45.4   ,                   0.0   ,               57.0   ,
2025-02-04 20:24:23 ,         300.0   ,            101.3   ,               35.8   ,        45.5   ,                   0.0   ,               56.0   ,
2025-02-04 20:24:24 ,         300.0   ,            101.3   ,               36.0   ,        45.7   ,                   0.0   ,               57.0   ,
2025-02-04 20:24:25 ,         300.0   ,            101.3   ,               35.9   ,        45.7   ,                   0.0   ,               60.0   ,
2025-02-04 20:24:26 ,         300.0   ,            101.3   ,               35.9   ,        45.7   ,                   0.0   ,               63.0   ,
2025-02-04 20:24:27 ,         300.0   ,            101.3   ,               36.0   ,        45.9   ,                   0.0   ,               61.0   ,
2025-02-04 20:24:28 ,         300.0   ,            101.3   ,               36.0   ,        45.7   ,                   0.0   ,               58.0   ,
2025-02-04 20:24:29 ,         300.0   ,            101.3   ,               35.9   ,        45.7   ,                   0.0   ,               58.0   ,
2025-02-04 20:24:30 ,         300.0   ,            101.3   ,               36.0   ,        45.9   ,                   0.0   ,               58.0   ,
2025-02-04 20:24:31 ,         300.0   ,            101.3   ,               36.0   ,        45.9   ,                   0.0   ,               56.0   ,
2025-02-04 20:24:32 ,         300.0   ,            101.3   ,               36.2   ,        45.8   ,                   0.0   ,               60.0   ,
2025-02-04 20:24:33 ,         300.0   ,            101.3   ,               36.2   ,        45.9   ,                   0.0   ,               56.0   ,
2025-02-04 20:24:34 ,         300.0   ,            101.3   ,               36.0   ,        45.9   ,                   0.0   ,               58.0   ,
2025-02-04 20:24:35 ,         300.0   ,            101.3   ,               36.1   ,        45.9   ,                   0.0   ,               56.0   ,
2025-02-04 20:24:36 ,         300.0   ,            101.3   ,               36.1   ,        45.9   ,                   0.0   ,               60.0   ,
2025-02-04 20:24:37 ,         300.0   ,            101.3   ,               36.2   ,        46.0   ,                   0.0   ,               60.0   ,
2025-02-04 20:24:38 ,         300.0   ,            101.3   ,               36.3   ,        46.0   ,                   0.0   ,               61.0   ,
2025-02-04 20:24:39 ,         300.0   ,            101.3   ,               36.1   ,        45.9   ,                   0.0   ,               59.0   ,
2025-02-04 20:24:40 ,         300.0   ,            101.3   ,               36.2   ,        46.1   ,                   0.0   ,               59.0   ,
2025-02-04 20:24:41 ,         300.0   ,            101.3   ,               36.3   ,        46.1   ,                   0.0   ,               59.0   ,
2025-02-04 20:24:42 ,         300.0   ,            101.3   ,               36.4   ,        46.0   ,                   0.0   ,               59.0   ,
2025-02-04 20:24:43 ,         300.0   ,            101.3   ,               36.3   ,        46.1   ,                   0.0   ,               61.0   ,
2025-02-04 20:24:44 ,         300.0   ,            101.3   ,               36.4   ,        46.2   ,                   0.0   ,               60.0   ,
2025-02-04 20:24:45 ,         300.0   ,            101.3   ,               36.3   ,        46.1   ,                   0.0   ,               64.0   ,
2025-02-04 20:24:46 ,         300.0   ,            101.3   ,               36.5   ,        46.3   ,                   0.0   ,               53.0   ,
2025-02-04 20:24:47 ,         300.0   ,            101.3   ,               36.4   ,        46.3   ,                   0.0   ,               66.0   ,
2025-02-04 20:24:48 ,         300.0   ,            101.3   ,               36.4   ,        46.3   ,                   0.0   ,               64.0   ,
