        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , GPU Chip Power Draw [W] , CPU Temperature [°C] ,
2025-02-04 20:52:22 ,         300.0   ,            101.3   ,               46.0   ,        56.1   ,                   0.0   ,               71.0   ,
2025-02-04 20:52:23 ,         300.0   ,            101.3   ,               46.1   ,        56.3   ,                   0.0   ,               66.0   ,
2025-02-04 20:52:24 ,         300.0   ,            101.3   ,               46.1   ,        56.1   ,                   0.0   ,               75.0   ,
2025-02-04 20:52:25 ,         960.0   ,           1375.2   ,               46.9   ,        58.2   ,                   0.0   ,               68.0   ,
2025-02-04 20:52:26 ,         960.0   ,           1375.2   ,               47.5   ,        59.0   ,                   0.0   ,               72.0   ,
2025-02-04 20:52:27 ,         960.0   ,           1375.2   ,               47.6   ,        59.2   ,                   0.0   ,               76.0   ,
2025-02-04 20:52:28 ,         375.0   ,            101.3   ,               47.1   ,        57.6   ,                   0.0   ,               68.0   ,
2025-02-04 20:52:29 ,         375.0   ,            101.3   ,               46.5   ,        56.4   ,                   0.0   ,               70.0   ,
2025-02-04 20:52:30 ,         300.0   ,            101.3   ,               46.7   ,        56.8   ,                   0.0   ,               69.0   ,
2025-02-04 20:52:31 ,         300.0   ,            101.3   ,               46.6   ,        56.7   ,                   0.0   ,               77.0   ,
2025-02-04 20:52:32 ,         300.0   ,            101.3   ,               46.7   ,        56.6   ,                   0.0   ,               76.0   ,
2025-02-04 20:52:33 ,         300.0   ,            101.3   ,               46.7   ,        56.5   ,                   0.0   ,               82.0   ,
2025-02-04 20:52:34 ,         300.0   ,            101.3   ,               46.8   ,        56.8   ,                   0.0   ,               79.0   ,
2025-02-04 20:52:35 ,         300.0   ,            101.3   ,               46.8   ,        56.8   ,                   0.0   ,               78.0   ,
2025-02-04 20:52:36 ,         300.0   ,            101.3   ,               47.0   ,        56.8   ,                   0.0   ,               77.0   ,
2025-02-04 20:52:37 ,         300.0   ,            101.3   ,               47.0   ,        57.2   ,                   0.0   ,               80.0   ,
2025-02-04 20:52:38 ,         300.0   ,            101.3   ,               46.9   ,        56.8   ,                   0.0   ,               75.0   ,
2025-02-04 20:52:39 ,         300.0   ,            101.3   ,               47.2   ,        57.2   ,                   0.0   ,               80.0   ,
2025-02-04 20:52:40 ,         960.0   ,           1375.2   ,               48.1   ,        59.4   ,                   0.0   ,               83.0   ,
2025-02-04 20:52:41 ,         960.0   ,           1375.2   ,               48.6   ,        59.9   ,                   0.0   ,               76.0   ,
