        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , GPU Chip Power Draw [W] , CPU Temperature [°C] ,
2025-02-05 00:09:17 ,         300.0   ,            101.3   ,               35.4   ,        44.8   ,                   0.0   ,               44.0   ,
2025-02-05 00:09:18 ,         300.0   ,            101.3   ,               35.4   ,        45.0   ,                   0.0   ,               37.0   ,
2025-02-05 00:09:19 ,         300.0   ,            101.3   ,               35.6   ,        45.4   ,                   0.0   ,               47.0   ,
2025-02-05 00:09:20 ,         300.0   ,            101.3   ,               35.5   ,        45.0   ,                   0.0   ,               47.0   ,
2025-02-05 00:09:21 ,         300.0   ,            101.3   ,               35.5   ,        45.2   ,                   0.0   ,               63.0   ,
2025-02-05 00:09:22 ,         960.0   ,           1375.2   ,               35.8   ,        45.9   ,                   0.0   ,               52.0   ,
2025-02-05 00:09:23 ,         960.0   ,           1375.2   ,               36.9   ,        47.9   ,                   0.0   ,               55.0   ,
2025-02-05 00:09:24 ,         960.0   ,           1375.2   ,               37.2   ,        48.6   ,                   0.0   ,               61.0   ,
2025-02-05 00:09:25 ,         375.0   ,            101.3   ,               36.2   ,        46.0   ,                   0.0   ,               63.0   ,
2025-02-05 00:09:26 ,         300.0   ,            101.3   ,               36.2   ,        45.9   ,                   0.0   ,               70.0   ,
2025-02-05 00:09:27 ,         300.0   ,            101.3   ,               36.2   ,        45.8   ,                   0.0   ,               62.0   ,
2025-02-05 00:09:28 ,         960.0   ,           1375.2   ,               37.4   ,        48.6   ,                   0.0   ,               59.0   ,
2025-02-05 00:09:29 ,         960.0   ,           1375.2   ,               37.9   ,        49.0   ,                   0.0   ,               68.0   ,
2025-02-05 00:09:30 ,         960.0   ,           1375.2   ,               38.2   ,        49.5   ,                   0.0   ,               67.0   ,
2025-02-05 00:09:31 ,         510.0   ,            101.3   ,               37.6   ,        47.6   ,                   0.0   ,               65.0   ,
2025-02-05 00:09:32 ,         510.0   ,            101.3   ,               37.7   ,        47.4   ,                   0.0   ,               69.0   ,
2025-02-05 00:09:33 ,         420.0   ,            101.3   ,               37.7   ,        47.4   ,                   0.0   ,               66.0   ,
2025-02-05 00:09:34 ,         375.0   ,            101.3   ,               37.7   ,        47.7   ,                   0.0   ,               67.0   ,
2025-02-05 00:09:35 ,         375.0   ,            101.3   ,               38.0   ,        47.9   ,                   0.0   ,               53.0   ,
2025-02-05 00:09:36 ,         375.0   ,            101.3   ,               38.0   ,        47.8   ,                   0.0   ,               72.0   ,
2025-02-05 00:09:37 ,         375.0   ,            101.3   ,               38.0   ,        47.8   ,                   0.0   ,               62.0   ,
2025-02-05 00:09:38 ,         300.0   ,            101.3   ,               38.1   ,        47.8   ,                   0.0   ,               74.0   ,
