        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , GPU Chip Power Draw [W] , CPU Temperature [°C] ,
2025-02-05 19:26:05 ,         300.0   ,            101.3   ,               36.0   ,        45.5   ,                   0.0   ,               66.0   ,
2025-02-05 19:26:06 ,         300.0   ,            101.3   ,               36.1   ,        45.6   ,                   0.0   ,               64.0   ,
2025-02-05 19:26:07 ,         300.0   ,            101.3   ,               36.2   ,        45.7   ,                   0.0   ,               61.0   ,
2025-02-05 19:26:08 ,         300.0   ,            101.3   ,               36.1   ,        45.6   ,                   0.0   ,               64.0   ,
2025-02-05 19:26:09 ,         300.0   ,            101.3   ,               36.3   ,        45.7   ,                   0.0   ,               68.0   ,
2025-02-05 19:26:10 ,         300.0   ,            101.3   ,               36.4   ,        46.2   ,                   0.0   ,               69.0   ,
2025-02-05 19:26:11 ,         300.0   ,            101.3   ,               36.4   ,        46.1   ,                   0.0   ,               65.0   ,
2025-02-05 19:26:12 ,         300.0   ,            101.3   ,               36.5   ,        46.2   ,                   0.0   ,               67.0   ,
2025-02-05 19:26:13 ,         300.0   ,            101.3   ,               36.6   ,        46.2   ,                   0.0   ,               68.0   ,
2025-02-05 19:26:14 ,         960.0   ,           1375.2   ,               37.9   ,        49.0   ,                   0.0   ,               67.0   ,
2025-02-05 19:26:15 ,         960.0   ,           1375.2   ,               38.3   ,        49.6   ,                   0.0   ,               63.0   ,
2025-02-05 19:26:16 ,         375.0   ,            101.3   ,               38.1   ,        48.7   ,                   0.0   ,               61.0   ,
2025-02-05 19:26:17 ,         375.0   ,            101.3   ,               37.8   ,        47.8   ,                   0.0   ,               66.0   ,
2025-02-05 19:26:18 ,         375.0   ,            101.3   ,               37.8   ,        47.7   ,                   0.0   ,               68.0   ,
2025-02-05 19:26:19 ,         300.0   ,            101.3   ,               37.8   ,        47.7   ,                   0.0   ,               54.0   ,
2025-02-05 19:26:20 ,         300.0   ,            101.3   ,               37.8   ,        47.7   ,                   0.0   ,               66.0   ,
2025-02-05 19:26:21 ,         300.0   ,            101.3   ,               37.8   ,        47.4   ,                   0.0   ,               69.0   ,
2025-02-05 19:26:22 ,         300.0   ,            101.3   ,               37.6   ,        47.2   ,                   0.0   ,               66.0   ,
2025-02-05 19:26:23 ,         960.0   ,           1375.2   ,               38.8   ,        49.8   ,                   0.0   ,               68.0   ,
2025-02-05 19:26:24 ,         960.0   ,           1375.2   ,               39.3   ,        50.5   ,                   0.0   ,               68.0   ,
2025-02-05 19:26:25 ,         960.0   ,           1375.2   ,               39.7   ,        50.9   ,                   0.0   ,               69.0   ,
2025-02-05 19:26:26 ,         960.0   ,           1375.2   ,               40.0   ,        51.4   ,                   0.0   ,               68.0   ,
2025-02-05 19:26:27 ,         960.0   ,           1375.2   ,               40.2   ,        51.5   ,                   0.0   ,               73.0   ,
2025-02-05 19:26:28 ,         375.0   ,            101.3   ,               39.8   ,        50.3   ,                   0.0   ,               70.0   ,
2025-02-05 19:26:29 ,         375.0   ,            101.3   ,               39.5   ,        49.3   ,                   0.0   ,               50.0   ,
2025-02-05 19:26:30 ,         375.0   ,            101.3   ,               39.3   ,        49.3   ,                   0.0   ,               54.0   ,
2025-02-05 19:26:31 ,         300.0   ,            101.3   ,               39.3   ,        48.8   ,                   0.0   ,               52.0   ,
2025-02-05 19:26:32 ,         300.0   ,            101.3   ,               39.3   ,        49.1   ,                   0.0   ,               66.0   ,
2025-02-05 19:26:33 ,         300.0   ,            101.3   ,               39.3   ,        48.8   ,                   0.0   ,               46.0   ,
2025-02-05 19:26:34 ,         300.0   ,            101.3   ,               39.3   ,        49.1   ,                   0.0   ,               53.0   ,
2025-02-05 19:26:35 ,         300.0   ,            101.3   ,               39.3   ,        48.8   ,                   0.0   ,               48.0   ,
2025-02-05 19:26:36 ,         300.0   ,            101.3   ,               39.3   ,        49.1   ,                   0.0   ,               42.0   ,
2025-02-05 19:26:37 ,         300.0   ,            101.3   ,               39.1   ,        48.8   ,                   0.0   ,               42.0   ,
2025-02-05 19:26:38 ,         300.0   ,            101.3   ,               39.1   ,        48.8   ,                   0.0   ,               42.0   ,
2025-02-05 19:26:39 ,         300.0   ,            101.3   ,               39.1   ,        48.8   ,                   0.0   ,               41.0   ,
2025-02-05 19:26:40 ,         300.0   ,            101.3   ,               38.9   ,        48.5   ,                   0.0   ,               59.0   ,
2025-02-05 19:26:41 ,         300.0   ,            101.3   ,               39.0   ,        48.6   ,                   0.0   ,               42.0   ,
2025-02-05 19:26:42 ,         300.0   ,            101.3   ,               38.9   ,        48.5   ,                   0.0   ,               59.0   ,
2025-02-05 19:26:43 ,         300.0   ,            101.3   ,               38.9   ,        48.6   ,                   0.0   ,               63.0   ,
2025-02-05 19:26:44 ,         300.0   ,            101.3   ,               39.1   ,        49.0   ,                   0.0   ,               48.0   ,
2025-02-05 19:26:45 ,         300.0   ,            101.3   ,               39.0   ,        48.8   ,                   0.0   ,               61.0   ,
2025-02-05 19:26:46 ,         300.0   ,            101.3   ,               38.8   ,        48.4   ,                   0.0   ,               41.0   ,
2025-02-05 19:26:47 ,         300.0   ,            101.3   ,               38.8   ,        48.5   ,                   0.0   ,               56.0   ,
2025-02-05 19:26:48 ,         300.0   ,            101.3   ,               38.8   ,        48.5   ,                   0.0   ,               42.0   ,
2025-02-05 19:26:49 ,         300.0   ,            101.3   ,               38.7   ,        48.3   ,                   0.0   ,               39.0   ,
2025-02-05 19:26:50 ,         300.0   ,            101.3   ,               38.8   ,        48.4   ,                   0.0   ,               40.0   ,
2025-02-05 19:26:51 ,         300.0   ,            101.3   ,               38.7   ,        48.4   ,                   0.0   ,               39.0   ,
2025-02-05 19:26:52 ,         300.0   ,            101.3   ,               38.4   ,        48.1   ,                   0.0   ,               39.0   ,
2025-02-05 19:26:53 ,         300.0   ,            101.3   ,               38.5   ,        48.1   ,                   0.0   ,               39.0   ,
2025-02-05 19:26:54 ,         300.0   ,            101.3   ,               38.4   ,        48.1   ,                   0.0   ,               39.0   ,
2025-02-05 19:26:55 ,         300.0   ,            101.3   ,               38.4   ,        48.2   ,                   0.0   ,               38.0   ,
2025-02-05 19:26:56 ,         300.0   ,            101.3   ,               38.4   ,        48.0   ,                   0.0   ,               46.0   ,
2025-02-05 19:26:57 ,         300.0   ,            101.3   ,               38.0   ,        47.8   ,                   0.0   ,               38.0   ,
2025-02-05 19:26:58 ,         300.0   ,            101.3   ,               38.2   ,        47.8   ,                   0.0   ,               38.0   ,
2025-02-05 19:26:59 ,         300.0   ,            101.3   ,               38.2   ,        48.0   ,                   0.0   ,               48.0   ,
2025-02-05 19:27:00 ,         300.0   ,            101.3   ,               38.0   ,        47.8   ,                   0.0   ,               54.0   ,
2025-02-05 19:27:01 ,         300.0   ,            101.3   ,               38.2   ,        48.0   ,                   0.0   ,               62.0   ,
2025-02-05 19:27:02 ,         300.0   ,            101.3   ,               38.1   ,        47.9   ,                   0.0   ,               46.0   ,
2025-02-05 19:27:03 ,         300.0   ,            101.3   ,               38.1   ,        47.9   ,                   0.0   ,               48.0   ,
2025-02-05 19:27:04 ,         300.0   ,            101.3   ,               38.2   ,        48.1   ,                   0.0   ,               55.0   ,
2025-02-05 19:27:05 ,         300.0   ,            101.3   ,               38.3   ,        48.2   ,                   0.0   ,               53.0   ,
2025-02-05 19:27:06 ,         300.0   ,            101.3   ,               38.2   ,        48.0   ,                   0.0   ,               59.0   ,
2025-02-05 19:27:07 ,         300.0   ,            101.3   ,               38.1   ,        48.0   ,                   0.0   ,               58.0   ,
2025-02-05 19:27:08 ,         300.0   ,            101.3   ,               38.2   ,        48.1   ,                   0.0   ,               54.0   ,
2025-02-05 19:27:09 ,         300.0   ,            101.3   ,               38.2   ,        48.0   ,                   0.0   ,               56.0   ,
2025-02-05 19:27:10 ,         300.0   ,            101.3   ,               38.2   ,        47.9   ,                   0.0   ,               55.0   ,
2025-02-05 19:27:11 ,         300.0   ,            101.3   ,               38.2   ,        47.9   ,                   0.0   ,               53.0   ,
2025-02-05 19:27:12 ,         300.0   ,            101.3   ,               38.2   ,        48.0   ,                   0.0   ,               56.0   ,
2025-02-05 19:27:13 ,         300.0   ,            101.3   ,               38.2   ,        48.0   ,                   0.0   ,               55.0   ,
2025-02-05 19:27:14 ,         300.0   ,            101.3   ,               38.3   ,        47.9   ,                   0.0   ,               56.0   ,
2025-02-05 19:27:15 ,         300.0   ,            101.3   ,               38.3   ,        48.2   ,                   0.0   ,               57.0   ,
2025-02-05 19:27:16 ,         300.0   ,            101.3   ,               38.5   ,        48.2   ,                   0.0   ,               53.0   ,
2025-02-05 19:27:17 ,         300.0   ,            101.3   ,               38.5   ,        48.2   ,                   0.0   ,               51.0   ,
2025-02-05 19:27:18 ,         300.0   ,            101.3   ,               38.5   ,        48.4   ,                   0.0   ,               54.0   ,
2025-02-05 19:27:19 ,         960.0   ,           1375.2   ,               39.5   ,        50.7   ,                   0.0   ,               55.0   ,
2025-02-05 19:27:20 ,         960.0   ,           1375.2   ,               39.8   ,        51.1   ,                   0.0   ,               60.0   ,
2025-02-05 19:27:21 ,         960.0   ,           1375.2   ,               40.0   ,        51.2   ,                   0.0   ,               64.0   ,
2025-02-05 19:27:22 ,         960.0   ,           1375.2   ,               40.2   ,        51.5   ,                   0.0   ,               55.0   ,
2025-02-05 19:27:23 ,         960.0   ,           1375.2   ,               40.3   ,        51.6   ,                   0.0   ,               67.0   ,
2025-02-05 19:27:24 ,         960.0   ,           1375.2   ,               40.5   ,        52.0   ,                   0.0   ,               71.0   ,
2025-02-05 19:27:25 ,         960.0   ,           1375.2   ,               40.7   ,        52.0   ,                   0.0   ,               72.0   ,
2025-02-05 19:27:26 ,         960.0   ,           1375.2   ,               40.9   ,        52.1   ,                   0.0   ,               70.0   ,
2025-02-05 19:27:27 ,         375.0   ,            101.3   ,               40.3   ,        50.6   ,                   0.0   ,               75.0   ,
2025-02-05 19:27:28 ,         375.0   ,            101.3   ,               40.2   ,        50.3   ,                   0.0   ,               77.0   ,
2025-02-05 19:27:29 ,         375.0   ,            101.3   ,               40.3   ,        50.3   ,                   0.0   ,               73.0   ,
2025-02-05 19:27:30 ,         375.0   ,            101.3   ,               40.3   ,        50.3   ,                   0.0   ,               64.0   ,
2025-02-05 19:27:31 ,         375.0   ,            101.3   ,               40.5   ,        50.5   ,                   0.0   ,               67.0   ,
2025-02-05 19:27:32 ,         375.0   ,            101.3   ,               40.6   ,        50.8   ,                   0.0   ,               80.0   ,
2025-02-05 19:27:33 ,         375.0   ,            101.3   ,               40.8   ,        50.9   ,                   0.0   ,               82.0   ,
2025-02-05 19:27:34 ,         375.0   ,            101.3   ,               40.9   ,        51.0   ,                   0.0   ,               83.0   ,
2025-02-05 19:27:35 ,         375.0   ,            101.3   ,               41.2   ,        51.1   ,                   0.0   ,               85.0   ,
2025-02-05 19:27:36 ,         375.0   ,            101.3   ,               41.4   ,        51.4   ,                   0.0   ,               85.0   ,
2025-02-05 19:27:37 ,         375.0   ,            101.3   ,               41.7   ,        51.9   ,                   0.0   ,               87.0   ,
2025-02-05 19:27:38 ,         375.0   ,            101.3   ,               41.9   ,        52.0   ,                   0.0   ,               85.0   ,
2025-02-05 19:27:39 ,         375.0   ,            101.3   ,               42.0   ,        52.3   ,                   0.0   ,               90.0   ,
